Trial ,ID,Sex,Light,Age,EntryZone_nose_freq,Entry_latency,Goal Box 0 Goal Box / Center0point 0 Frequency,Goal Box 0 Goal Box / Center0point 0 Latency to First (s),Target visit errors 0 Nose0point / Total errors 0 Frequency,Quadrants 0 Q1 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q2 / Center0point 0 Q2 / Center0point (%),Quadrants 0 Q3 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q4 / Center0point 0 Q4 / Center0point (%),DistanceMoved_cm
4,5,1,2,1,2,100.8,1,110.1,15,23.5039,4.16305,35.039,34.1717,622.681
5,5,1,2,1,1,0.599997,0,-,0,0,0,0,100,41.112
6,5,1,2,1,5,9.19999,0,0,26,33.6252,5.25394,16.0245,45.0963,1194.53
1,6,1,2,2,13,131.599,10,144.599,42,12.1555,5.17453,14.5744,61.1451,1324.13
2,6,1,2,2,7,20.6,1,36.3,6,30.6024,11.0843,0,50.8434,265.059
3,6,1,2,2,2,93.9999,1,103.6,18,31.8934,12.5919,25.0919,27.5735,1247.3
4,6,1,2,2,1,117.6,0,-,3,40.2502,11.4054,17.145,22.5901,697.345
5,6,1,2,2,7,123.1,6,123.6,18,21.811,5.02313,26.9002,42.8949,1328.13
6,6,1,2,2,1,73.8997,0,-,4,35.3765,6.65499,9.63222,48.3363,644.321
1,7,1,2,2,10,9.29999,2,132.8,31,19.2474,26.4035,11.2893,37.3843,1135.33
2,7,1,2,2,4,57.1998,1,73.2997,13,20.8917,4.07643,39.6178,30.828,767.243
3,7,1,2,2,2,0.799996,1,5.39998,1,0,0,0,75.4717,47.8868
4,7,1,2,2,2,41.6998,0,-,12,18.3916,6.29371,18.1119,57.2028,659.204
5,7,1,2,2,2,24,1,34.1,4,8.39695,0,14.7583,66.6667,188.117
6,7,1,2,2,5,25.3999,0,-,15,29.2469,12.2592,16.4623,42.0315,973.678
1,8,1,1,2,12,127.699,8,139.199,27,10.3106,12.6708,0.838509,49.9689,1023.95
2,8,1,1,2,4,120.1,1,124.4,6,16.4352,34.3364,12.5772,32.6389,1213.17
3,8,1,1,2,5,61.8998,4,73.3997,11,25.5725,12.4682,11.8321,45.8015,505.561
4,8,1,1,2,9,125.599,5,131.899,5,13.8744,14.256,5.82726,50.1214,504.877
5,8,1,1,2,22,46.2998,8,125.999,26,7.94927,6.99041,9.27931,48.6236,994.724
6,8,1,1,2,0,-,0,-,2,4.20315,24.4308,12.8722,58.4939,337.77
1,9,1,2,2,2,134.899,1,137.499,21,32.7961,16.398,25.0175,23.4057,1226.27
2,9,1,2,2,2,34.2,1,42.1,7,34.6723,25.5814,3.59408,28.9641,346.894
3,9,1,2,2,4,0,1,18.0999,4,0,0,0,84.1202,59.9344
4,9,1,2,2,2,12.9,1,21.9,2,0,0,24.3542,61.2546,132.59
5,9,1,2,2,2,103.9,1,113,20,28.4264,17.4281,24.6193,25.9729,1020.86
6,9,1,2,2,3,6.49999,0,-,25,17.1629,11.9089,33.8003,37.1278,1318.46
1,10,1,1,1,2,122.866,1,126.966,7,18.0762,17.3441,43.9535,18.0762,846.212
2,10,1,1,1,3,67.0997,1,70.6664,6,4.01427,8.02855,45.1383,38.6708,649.893
3,10,1,1,1,2,24.7999,1,27.9999,6,29.2169,0,0,58.1325,122.988
4,10,1,1,1,2,74.5999,1,77.8999,12,20.2166,27.3165,15.5235,32.3706,804.16
5,10,1,1,1,1,0,0,-,0,0,0,0,100,9.03183
6,10,1,1,1,3,38.9,0,0,16,8.27002,12.3904,22.2385,57.1011,1189.63
1,11,1,2,1,3,123.2,0,-,20,41.8925,17.3034,16.4594,24.3447,1254.22
2,11,1,2,1,2,55.7999,1,59.5999,7,22.0103,16.2371,22.268,33.1959,600.108
3,11,1,2,1,2,37.7,1,40.7,8,26.5795,1.96078,28.5403,33.5512,466.581
4,11,1,2,1,3,80.8997,2,89.2996,17,39.7884,13.4392,19.1534,25.5026,897.702
5,11,1,2,1,2,8.89996,1,13.1333,3,0,0,18.315,62.4542,128.811
6,11,1,2,1,9,27.2333,0,0,39,18.2934,10.1695,24.1087,47.4284,1538.83
1,12,1,1,1,2,114.567,1,116.467,15,14.5091,13.4668,29.1004,41.4975,865.078
2,12,1,1,1,2,7.9333,1,10.1,2,0,5.05494,2.63737,59.7802,93.9953
3,12,1,1,1,1,25.6,1,28.1,4,53.7538,0,0,30.6306,137.844
4,12,1,1,1,3,133.199,1,134.599,28,23.5336,21.4592,29.9714,22.6037,1128.54
5,12,1,1,1,3,1.56666,1,3.19999,1,0,0,7.92079,88.1188,66.8094
6,12,1,1,1,9,14.3,0,0,20,34.9503,9.99416,17.3583,37.6973,859.518
1,15,1,2,2,4,129.066,2,129.733,20,25.4796,24.8479,27.6322,16.7057,1158.4
2,15,1,2,2,33,84.3999,23,113.433,19,8.91323,6.80842,2.71692,29.0808,956.615
3,15,1,2,2,5,30.8,1,54.7999,5,19.6667,15.3333,6.83333,51.5,531.353
4,15,1,2,2,8,115.1,8,116.9,7,25.557,13.4338,19.3316,28.5059,462.911
5,15,1,2,2,1,9.59996,0,-,2,9.96732,3.26797,0,86.7647,105.519
6,15,1,2,2,1,12.7,0,-,22,27.3232,12.4489,30.7423,29.4857,1080
1,16,1,1,2,8,124.9,0,-,15,7.84418,10.1475,6.55981,75.4485,969.786
2,16,1,1,2,1,109,1,111.4,16,24.1557,19.3188,25.5009,26.6743,1189.36
3,16,1,1,2,2,12.9999,1,22.2999,4,0,23.2727,4.36364,60.3636,199.261
4,16,1,1,2,8,125.999,6,137.999,17,25.7194,17.9257,13.1295,30.3957,1051.35
5,16,1,1,2,1,122.733,0,-,15,23.1994,9.57927,27.4305,39.7908,1275.52
6,16,1,1,2,2,82.6332,0,-,9,32.1157,18.9363,19.7838,29.1642,866.225
1,17,1,2,2,18,23.9999,7,135.099,19,5.47845,4.64364,21.0581,19.1172,744.016
